russian translation,name,Persian,Arabic,Failures Farsi,Rutul Dict,Rutul Rutul Vera,Ikhrek Rutul Jariyat,Ikhrek Rutul Aishe Word,Ikhrek Rutul Zijawudin 77 Word,Ikhrek Rutul Salimat 56 Word,Kina Rutul Nurulla,Kina Rutul Mevletdin 70 word,Kina Rutul Magomed-Shapi 67yo word,Kiche Rutul Serazhudin Word,Kiche Rutul Sejfulla Word,Azer,Kumyk,Lezgian,Khlut Alimurad,Helmets Abduragim,Helmets Tarlan,Helmets Murad,Khlut Alimurad,Khlut Arsen,Khlut Sanidir,Khlut Islam,Russian,Tsez_dict,Bezhta_dict,Bezhta Batyr,Kidero Aishat,Kidero Ibragim,Kidero Akhmed,Hinuq_dict,Karata,Karata_Zagra,Karata_Zagra_da,Karata_Umarkhadzhi,Karata_Umarkhadzhi_da,Karata_Khajbula,Karata_Khajbula_da,Karata_Ktoto,Karata_Ktoto_da,Tukita_MagMag,Tukita_MagMag_da,Tadmagitl_Khadzhimurat,Tadmagitl_Khadzhimurat_da,Tadmagitl_Nazirbek,Tadmagitl_Nazirbek_da,Tadmagitl_Nadzhawat,Tadmagitl_Nadzhawat_da,Tadmagitl_Abdurakhman,Tadmagitl_Abdurakhman_da,Karata_Gazijav,Karata_Gazijav_da,Bagvalal,Bagvalal_Gusejn,Bagvalal_Gusejn_da,Bagvalal_Muminat,Bagvalal_Muminat_da,Bagvalal_Muslim,Bagvalal_Muslim_da,Bagvalal_nazhavat,Bagvalal_nazhavat_da
брюки,the trousers,"ezar, ranin, serval, shalvar",bantaloona,,баду,баду,баду,баду,баду,баду,баду,баду,баду,баду,баду,шалвар,"шалбар, иштан",ШАЛВАР,ШАЛВАР,бада,бада,бада,шалвар,шалвар,"шалвар, вяхчег",шалвар,брюки,гъелIу,0,хьет1у,бел1у,гъал1,гъел1у,гъелIу,шарбал,шарбал,,да,шарбал,да,шарбал,да,шарбал,шалпар,,,,бата,,да,бата,,,,,бáта,барта,,да,барта,да,барта,да,барта
цепь,the chain,zanjeer,silsilah,,0,зинджир,силсил,силсил,силсил,сирсил,зинджир,зинжил,0,зинжир,цепь,"zəncir (здесь был восклицательный знак, непонятно почему)",шынжыр,ц1иргъ,жинжир,зинджир,занжир,0,жанжур,жанжир,жанжур,цепь,цепь,"гъугъуди, муха",raxas,гъачу,гъугъуди,гъугъуди,гъугъуди,реху,раххасс,раххас,,раххасс,,да,раххасс,да,раххасс,да,раххасс,рахаси,,"цепи, рахаси подтвердил",рахаси,,,,,,,лахáц,раххаз,,рахаз,,рахаз,,да,рахаз
вилка (которой кушают),the fork,"changal, shakheh, sheghgh",shauka,,чангал,вилка,чангал,чангал,чангал,чангал,хьылан,чангал,чангал,хьылан,0,чəнҝəл,чиш,ЯВШАН,кьуькь,шана,шана,вилка,кьуькь,кьукь,кьукь,,вилка,#N/A,#N/A,сино,вилка,къи1лъи1,къи1лъи1,#N/A,#N/A,#N/A,,#N/A,маъа,#N/A,маъа,#N/A,маъа,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,гIучI,#N/A,,#N/A,,#N/A,,#N/A,
олень,the reindeer/caribou,gavazn,ghazal,,марал,джейран,марал,марал,нахчир,марал,михь,"михь, джейран",джейран,джейран,михь,maral,къубагийик,мирг,мирг,марал,марал,джугъур,мирг,жейра,мирг,,олень,ЛЪИД,biɬo,билъо,белъи,белъи,0,"болъи // булъи, гъуни",рит1уч1,чане (рит1уч1 с ветвистыми рогами),,чане,,да,чане,да,чане,рит1уч1,,чани,,рит1уч1е,,,,,,,,гъвáлчIа,чан,,,,"рит1уч1 (с рогами), чан",,рит1уч1,
время,the time,vaght,"waqt, zaman, zamaan",,"сагьаIт, вахт, замана, девран, вяде",вахт,вахт,вахт,вахт,вахт,вахт,вахт,вахт,вахт,вахт,"vaxt (здесь был восклицательный знак, непонятно почему)","заман, вакъти, сагьат",ЧIАВ,вахт,вахт,вахт,вахт,вахт,вахт,вахт,вахт,время,"МЕХ (время, пора), заман",mex,заман,заман,заман,заман,"гIуж1, гIумру-гъведе, заман, мих, сагIат","къару, заман, рег1а, ригьи, завал",замана,,да,замана,да,замана,заман,,замана,,зама,,зама,,,,да,зама,,,"замáна, къар",заман,,да,заман,да,заман,да,заман
деньги,the money,pool,"maal, flous, nuqoud",,"танга, шийибыр",шийбыр,шийибыр,шийибыр,зар,шегьибиыр,"шийибыр, манутбыр",шийибыр,шийбыр,танга,танга,pul,акъча,ПУЛ,ПУЛ,пыль,пыль,пыль,пул,пул,пул,пул,деньги,мицхир,okko,окко,мицхир,мицхир,мицхир,мехцер,"г1арсе, шагьи-кепек",да,"г1арсе, шагьи-кепек",да,"г1арсе, шагьи-кепек",да,"г1арсе, шагьи-кепек",да,"г1арсе, шагьи-кепек",г1арци,,ачи,,да,ачи,,,да,ачи,,,ас,ац,,да,ац,да,ац,да,ац
суп,the soup,soop,shorba,,цIыс,ц1ыс,рыкь,рикь,рыкь,рыкь,рыкь,рыкь,рыкь,"суп, чорпа",0,şorbası,шорпа,"хап1а, суп","хап1а, суп",йикь,йикь,йикь,"ц1уз, хап1а",ц1ыз,ц1уз,хуьрек,суп,чорпа,šorpa,шорпа,чорпа,чорпа,чорпа,"гъого, чорпа",чорпа,да,чорпа,чорпа,,да,чорпа,да,чорпа,чурпа,,чупа,,да,чупа,,,,,,,0,чорпа,,чурпа,,чурпа,,да,чурпа
свинец (из чего пули),the lead,peeshahangee,rasaas,,къургъушин,къургъушин,къургъушин,къургъушин,кургъушен,къургъушин,къургъушин,къургъушин,къургъушин,къургъушун,къургъушин,qurğuşun,къоргъашын,кьуркьушум,кьуркьушум,гъургъушин,гъуршъушин,гъуршъушин,къыргъышин,къыргъышим,къургъушин,свинец,свинец (из чего пули),КÉБ/У,0,къобу,0,кебу,0,кебу,т1оше,да,т1оше,да,т1оше,п,т1оше,сомневается,,т1ухьи,,т1оша,,?,,,,,,,,тIощ,т1ош,,,,да,т1ош,"чаран наверное, не различаю",
коса,the scythe,afandareh,"mihsad, minjal",,ч1а1на1к1,0,ч1ина1к1,ч1а1на1к1,ч1инак1,чинакь,ч1ина1к1,ч1инак1,ч1инакь,ч1анак1,дергес,na,чалгъы,дергес,дергес,чалугъ,чалгъун,чалугъ,дургес,дергес,дергес,,коса,ХЕРЦÉЛ/И,miɣlat’o,харачин,"мешу - жен., х1ерцели - муж.",харицел,херцели,"нешу, халицен","ххарицен, хъашт1а",второе (первое - серп),,хъашт1а,,хъашт1а,,да (ххарицен - малденький),хъашт1а,хъашта,,хъадиро,,хъалица (хъаНдиро - женский серп),,,,,,,,харицел,халици,,да,халици,да,халици,да,халици
серп,the sickle,"ghaleh, dabreh, afandareh, jakhsook","mihsad, mihash",,араб,араб,араб,хыбык,хьабак,хабахъ,араб,араб,араби,араб,ик1,oraq,оракъ,мукал,мукал,араб,араб,араб,баск1ун,баск1ун,баск1ун,,серп,,0,йыхыт1,нешу,нешу,нешу,,,не то что-то,,харицан,,"харицел, харицан",,да,"харицел, харицан",хъандиру,,хъадиро,,да,хъадиро,,,,,,,нича,? не точно,,,,как коса?,,халици,
краска,the paint,rang,"talaa', dihaan, sebgh",,"шир, ранг","ранг, шир",шир,ранг,читена,ранг,шир,шир,ранг,шир,ранг,boya,"бояв, сыр",ранг,?шур,"ранг, шир",ранг,шир,шур,шур,ранг,шир,краска,ЛАК,karaska,0,краска,лак,0,"лажбар, лак",лажбар,релъан (лажбар - это конкретно при ремонте),,"краска, которой красим если - то лажбар",,лажбар,,краска,,лажбар,,"краска, лажиба тоже говорят",,краска,,,,,,,,ладжибáр,краска. нажбар,,нажбар,,краска,,краска,
тюрьма,the prison,"habs-khaneh, dakan, dokeh, zendan, mahbas","sijn, zindaan",,дустах,дустагъ,дустагъ,дустагъ,дустагъ,дустагъ,дустагъ,дустагъ,"зулматхана, дустагъ?",тюрма,дустагъ,həbsxana,"туснакъ, зиндан",дустагъ,дусах,"тюрма, дустагъ",тюрма,0,дусагъ,дустагъ,дустагъ,дусагъ,тюрьма,ТУСНÁКЪ,t’usaɣi,т1усагъ,туснахъ,туснакъ,туснакъ,туснахъ,туснахъ,да,туснахъ,да,туснахъ,да,туснахъ,да,туснахъ,да,туснахъ,туснахъа,,да,туснахъа,,,,,,,туснáхъ,туснахъ,,туснахъ,,да,туснахъ,турьма,
серебро,the silver,0,fiddah,,гымыш,гымыш,гумуш,гумуш,гумуш,гумуш,гымыш,гымыш,гымыш,гымыш,гымыш,gümüş,гюмюш,гимиш,гимиш,гумуш,гумуш,нукьра,гимиш,кумыш,гумыш,гумыш,серебро,УКР/У,okko,месед,0,0,г1арац,"мецхер, укру //окро",г1арсе,да (и деньги),г1арсе,да,г1арсе,"гьезе бронза, г1арсе серебро подтвержил",,да,"гьезе бронза, г1арсе серебро подтвержил",г1арцци,,ачи,,да,ачи,,,,,,,ас,ац,,,,да,ац,да,ац
"замок (навесной), ключ",the lock,zoabeh,mighlaaq,,гюлег,гюлег,гулег,гулег,гулег,гулег,гюлег,къул?,гюлег,гюлег,гюлег,qala,кирит,"КЪЕЛЕ (зАмок), ДАПIАР (замОк)",дап1ара,куляк,куляк,0,дап1арар,"килога, дап1арар",куьлаг,кьулаг,замок (навесной),#N/A,0,рагъиб,бурк1ули,х1ишуни,х1ишуни,#N/A,#N/A,#N/A,маххе,#N/A,маххе,#N/A,маххе,#N/A,маххе,#N/A,,#N/A,,#N/A,рик1алълъли,#N/A,,#N/A,рик1алълъли,#N/A,,рéкIул,#N/A,,#N/A,,#N/A,,#N/A,к1уляр
известковый раствор,the mortar(2),azhand,jeer,,киредж,киредж,кирадж,кирадж,кирадж,кирадж,кирадж,кирадж,кирадж,киредж,киредж,minaatan,киречли сув,киреж (негашеная известь),киреж (негашеная известь),кирож,кирож,кирож,кереж,кереж,кереж,кереж,известковый раствор,ГАЧ,0,кираз,к1ер,гач,гач,гач,гаче,да,гаче,гаче,,да,гаче,да,гаче,гач билъилаледу,,,,киражи,,,,киражи,,,,гарч / гач,гач,,да,гач,да,гач,да,гач
крест,the cross,challepa,saleeb,,хач,хач,хач,хач,хач,хач,хач,хач,хач,хаш,хаш,keçmək,хач,хаш,хаш,хач,хач,хач,хаш,хам,хаш,хаш,крест,ХЪАIНЧ,qanč,хъанч,хъанч,чанк,хъач,хъанчи,чаНчалик1,NA (это крести в картах),,крест,,чанчалик1 крести,,крест (чаНчалик1 - крести),,хъанч,,хъанч,,"подтвердил, аварское",хъанч,,,,,,,хъаНч,хъанч,,да,хъанч,хъанч,,да,хъанч
кулак,the fist,"oor, mosht",qabdah,,худ,худ,худ,худ,худ,худ,худ,худ,худ,худ,худ,yumruq,юмурукъ,гъуд,гъуд,худ,худ,худ,гъут,гъуд,гъут,,кулак,БÉС/И,0,биза,беси,беси,беси,беши,зай,зай,,да,зай,ззай,,да,зай,зе,,жари,,да,жари,,,,,,,гьýнчIа,зай,,да,зай,да,зай,да,зай
шутка,the joke,"shukhi, ekhtelat, kheetal",nuktah,,зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,масхара,зарафат,зарафат,зарафат,zarafat,"масхара, самаркъав",зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,зарафат,шутка,МАХСÁР/А,0,махсара,махсара,масхара,махсара,"гап, ихтилат, ихтилат-кеп, махсара",масхъара,да,масхъара,да,масхъара,да,масхъара,да,масхъара,да,масхъара,махсаро,,махсара,,,,,,,,масхъáра,масхара,,махсара,,махсара,,махсаро,
лопата,the spade,beel,"mijrafah, jarouf",,"бер, юхь",бер,къылсе,къылсе,къулсе,кансе,бер,бер,бер,бер,лопата,kürümək,"бел, кюрек, лопата","йирф (деревянная), кьусу (деревянная), пер, юрф","йирф (деревянная), кьусу (деревянная), пер, юрф",курак,курак,лопата,пер,"лопатка, пел","лопатка, пер",лопатка,лопата,ÁК/У,it’ino äkö,аку,аку,аку,аку,аку,"квабахх (деревянная), беле (железная)",беле,,белле,,белле,,беле,,бел,,по-русски,,лопатка,,,,,,,,"бегьýн - деревянная, рéхéн деревянная, бел - железная",бель,,да,бель,да,бель,да,бель
ножницы,the scissors or shears,"bor, gheychee","miqass, miqraad",,кьыIчIидбыр,кьыч1ид,къычид,кьы1ч1ид,къачид,къачид,кьыIдичIбыр,кьыIчIидбыр,къадыч1быр,мыкьрад,мыкьрад,qayçı,къайчы,къайчи,мукьрат,адиссе,адиссе,адисси,мукьрат,мукьрат,мукьрат,мукьрат,ножницы,ХЪИIРИЧI//ХЪЕIРÉЧI,yüč’dänä,yüč’dänä,хъирич1,хъирич1,хъирич1,мокIортIи,к1ваНкьибди,да,к1ваНкьибди,да,к1ваНкьибди,да,к1ваНкьибди,да,к1ваНкьибди,к1ункьиби,,квакьела,,да,квакьела,,,,,,,къвáНкьа,къванкьила,,,,да,къванкьила,да,къванкьила
одеяло,the blanket,patoo,"ghitaa', lihaaf",,"юргъан, одиял",юргъан,юргъан,юргъан,юргъан,юргъан,юргъан,адиял,юргъан,"адиял, юргъан","адиял, юргъан",yorğan,"ювургъан, шаршав, тёшек шаршав",яргъан,юргъан,"адиял, юргъан",ёргъан,юргъан,юргъан,юргъан,юргъан,одеяло,одеяло,"АДИЙÁЛ, сабани",yorɣan,yorɣan,сабани,сабани,сабани,"адийал, сабани","ургъан, адийал","первое (ватное толстое), адия",,ургъан,,да,ургъан,да,ургъан,"иргъан (стеганое, адияло",,игъва,,адия,,,,,,,,"гьáго // гьáгва - из овчины, эргъвáн / иргъвáн — стёганое",эргъун,,,,да,эргъун,да,эргъун
буза,the fermented drink,0,bouða,,"буза, хаIн",ха1нь,хинч1е,хинч1е,буза/ха1н,хинч1е,ха1н,ха1н,"хинче, буза",хы1нь,буза,gürültü,боза,буза,т1ач,выхына,выхы1на,выхынна,т1аг,т1ач,т1ач,т1ач,буза,ЗÉР/У,č’aɣa,су,зеру,зеру,ма1лу,"зере, чIагIа",ч1аг1а,ч1аг1а,,"мед, ч1аг1а самогон",,да,"мед, ч1аг1а самогон",оба,,ч1аг1а,,,,чаг1а,,ч1аг1а,,,,,,0,мед,,да,мед,да,мед,не знаю,
гусь,the goose,ghaz,wazzah,,къаз,къваз,къваз,къваз,къваз,къваз,къаз,къаз,къаз,къаз,къваз,dərzi ütüsü,къаз,КЪАЗ,КЪАЗ,къаз,къаз,урдяг,къаз,къаз,къаз,0,гусь,матIи2,bat’i,хъахъа,гусь,мат1и,0,матIи,хъаз,да,хъаз,да,хъаз,да,хъаз,да,хъаз,хъаза,,хъази,,"да, с назализацией",хъази,,,да,хъази,,,хъаз,хъаз,,неясно,,да,неясно,да,неясно
море,the sea,"darya, yam",bahr,,да1рагь,дейра,дарья,дерьягь,дарьягъ,дерья,дерьягъ,дерьягь,дерьягь,дейра,дангыз,dəniz,денгиз,гьуьл,гьуьл,дерье,дерье,дерье,гьуьл,гьуьль,гьуьль,гьуьль,море,ралъад,raɬad,ралъад,море,море,ралъад,ралъад,релъа,да,релъа,"море, лъерса",,релъа,,релъа,,да,релъа,ралъа,,море,,,,,,,,рéлгьа,,,,,ралъа,,да,ралъа
сад,the garden,"bagh, baghcheh, baghestan, baghak, bostan","hadeeqah, riyadh",,багъ,багъ,багъ,багъ,багъ,багъ,багъ,багъ,багъ,быстан,багъ,bağ,бав,бахча,сагъл,багъ,багъ,багъ,"багъ, сагьл",багъча,багъ,багъ,сад,ахибакI,baɣi,а1гъ,"агарод, сад",моч,сад,ахибакI,ахе,да,ахе,да,ахе,да,ахе,да,ахе,агьи,,ахъи,,ахъикьи,,,,,,,,0,ах,,,,ах,,агь,
утка,the duck,"ordak, bat",battah,,уьрдег,уьрдег,уьрдег,"къваз, уьрдег",уьрдег,уьрдег,урдег,уьрдег,оьрдег,0,къваз,ördək,"оьрдек, бабиш",п1ат1,уьрдег,уьрдяг,уьрдяг,0,уьрдег,уьрдег,уьрдег,-,утка,МÁТI/И1,ixu,хъахъа,утка,хъаз,утка,ихурахъ,ордок,да,ордок,да,ордок,да,ордок,да,ордок,урдык,,,,бабуше,,,,,,,,"бабýш, оьрдек - дикая",?,,хъаз,,,,ордек,
арка,the arch,tagh,qaus,,чарх ад,чарх,арка,тагъ,тагъ,чарх,чарх,чарх,арх,чарх,чарх,tağ,гюмез,NA,NA,тагъ,арка,0,чарх,чарх,чарх,арка,арка,КIÁМ/У2,k’amur,арка,арка,к1аму,к1аму,кIамури,к1амур,"сорер, кьиба",,к1амур,,да,к1амур,"гургин круглый буквально, к1амур подтверждает",,акъва,,,,к1аму,,да,к1аму,,,,,кIáмур,к1авун,,да,к1авун,да,к1авун,подтвердила,к1авун
колесо,the wheel,"takar, char",ajalah,,чарх ад,чарх,туп,туп,туп,туп,туп,туп,туп,чарх,чарх,təkər,дёгерчик,чарх,чарх,текар,текара,текар,чарх,чарх,чарх,чарх,колесо,аIгъур,örrä,örrä,а1гъур,а1гьур,а1гъур,гъемер,диду,да,диду,да,диду,да,диду,да,диду,гури,,к1илик1а,,да,к1илик1а,,,да,к1илик1а,,,"гъáрбичо - у машины, чархъ / чахъ - на швейной машине",гиличо,,да,гиличо,"гор круг, гиличо",,гиличо,
виноград,the grape,angoor,enb,,"тIымыл, изюм, кишмиш",т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,т1ымыл,üzüm,юзюм,ЦИПИЦ,уьзуьм,т1ымыль,т1ымыль,т1ымыль,уьзуьм,уьзуьм,уьзуьм,уьзуьм,виноград,кIуди,k’odo,k’odo,к1уди,к1уди,к1уди,кIуди // кIвиди,ц1ибил,ц1ибил,,да,ц1ибил,да,ц1ибил,да,ц1ибил,ц1ебила,,ахъи,,да,ахъи,,,да,ахъи,,,"агь, къáра-цIибил, чóрма",ц1ибил,,да,ц1ибил,ц1ибиль,,да,ц1ибиль
молоток,the hammer,"potk (smith's hammer), chakkosh",mitraq,,сант,сант,сант,сант,сант,сант,сант,сант,сант,сант,сант,çəkic,чёкюч,к1ута,к1ута/каш,к1аш,к1аш,к1аш,к1аш,к1аш,к1аш,к1аш,молоток,"ГИЗÁР/У (для жерновов), КÁРТI/А",t’öʔä,t’öʔä,КÁРТI/А,КÁРТI/А,КÁРТI/А,квартIа,корт1а,да,корт1а,да,корт1а,да,корт1а,да,корт1а,да,корт1а,кот1а,,да,кот1а,,,,,,,кóртI|,курт1а,,,,да,курт1а,да,курт1а
"тухум, род",the clan,taefat,"al, 'aailah, 'asheerah",,"тум, цихил, тухум, кьабиле","тухум, цихил",тухум,тухум,"тухум, кьабила — редко","тухум, цыхил - нет","тухум, хъайбац1ар","тухум, арха, махле","тухум, ма1хле",тухум,тухум,tuhum,тухум,жинс,сихил,тухум,тухум,"тухум, насыр",сехил,"сехил, жинс",тухум,сихил,"тухум, род",КЬИБИЛ,0,"тухум, кьибиль","тухум, кьибил, агал1и","кьибил, тухум","кьибил, тухум","жинс, кьибил, наслу, тайпа, тухум, тухум-кьибил, уммат","тухум, гьекьебо",кьибил (корень),,тухум,,тухум,,"тухум, кьибил подтверждает, тухум-кьибил родословная",,"тухум, кьибил тоже",,кьибил,,г1агалъи (родственники),,,,,,,,0,кьибиль,,кьибиль,,тухум,,тухум,
яд,the poison,"zoaf, zefaf, zahr, samm, sharang",samm,,"аугъу, зегьер, зегьриман, яман",агъу,авгъу,авгъу,авгъу,агъу,увгъу,увгъу,авгъа,агъу,агъу,zəhər,?,агъу,агъу,загъыр,захыр,загъыр,агъу,агъу,агъу,0,яд,БИХИР/Á,zahru,зигьру,загьру,загьру,загьру,"загьру, закъум, загьру-закъум",загьру,да,загьру,да,загьру,да,загьру,да,загьру,да,загьру,загьиро,,да,загьиро,,,,,,,зáгьру,загьру,,загьру,,да,загьру,да,загьру
"граница, межа",the boundary,"marz, parreh, saghar, hashieh, gheervan, karan, kanaf",hadd (pl. hudoud),,саргьаIт,саргьа1т,саргьаIт,саргьа1т,саргъат,саргъат,саргъа1т,саргьат,саргьат,са1ргъа1т,саргъат,sərhəd,дазу,"ГЪАЯТ, СЕРГЬЯТ","ГЪАЯТ, СЕРГЬЯТ",сегьрат,сегьрат,сегьрат,сергьет,чсергьет,сергьет,сергьят,"граница, межа",ГIУРХЪ/И,0,ГIУРХЪ/И,ГIУРХЪ/И,ГIУРХЪ/И,ГIУРХЪ/И,"гIорхъи // гIурхъи, кух, лах, лахта, рахъ","г1орхъе, х1ат",первое,,да,первое,п,первое,п,первое,г1орхъи,,г1охъи,,подтвердил,г1охъи,,,да,подтвердил,,,гIорхъи,г1орхъи,,гьуа (г1орхъи - граница между селениями),,г1орхъи,,г1орхъи,
санки,the sledge/sled,"potk, doroshkeh, soortmah, kooban",mizlajah,,"гъаIль, гъаIлер",гъа1ль,кирхе,кирше,кирше,кирше,хезек1,сиде?,гьараби,гъаль,гъа1ль,na,"чана, чаналар",гъел,гъилирар,хизаг,хизаг,хизаг,жилерар,гьэлерар,кьамар алерар,санки,санки,ЧАГЪÁIН/А//ЧАIГЪÁН/А,0,к1ох,чагъана,чагъана,чагъана,чагъана,"артаНди, чанагъабди",первое,,санкилди,,санкибди,,"санки, чагъан искусственно сделанный",,чанагъ,,чанагъа,,санка,,,,,,,,"гелегáби, чагъáна",чанах,,,,чанагъ,,чанагъ,
цена,the price,"qeymat, baha","si'r, qeemah, θaman",,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,кьимет,qiymət,"багьа, къыймат, гьакъ",мас,кьимет,кьыймат,кьиймат,кьимат,кьимет,к1емет,к1емат,к1емат,цена,БÁГЬ/А,baha,багьа,багьа,багьа,БÁГЬ/А,"багьа, къимат, хIакъ","багьа, къимйат",багьа,,да,багьа,да,багьа,да,багьа,да,багьа,багьа,,да,багьа,,,,,,,багьá,багьа,,багьа,,да,багьа,да,багьа
пила,the saw,arreh,"minsharr, meesharr",,меншер,меншер,къыздабил,"гирдебил, дархъилаг, *меншер",гирдебил,дархилаг,"гирдаб, дархъилак, меншер","кирдаб, дархилаг",кирдаб,меншер,меншер,mişar,бычгъы,мишер,мишер,гирдабиль,гердабиль,гердабиль,меншере,меншери,меншери,,пила,ХИРИХ,xoyɣo,хойгъо,хирих,хьирих,ХИРИХ,хилих,ххердоб,да (пилящая вещь),ххердоб,ххердоб дала,,да,ххердоб дала,да,ххердоб дала,хъухъаб диру,,хъухъа диро,,да,хъухъа диро,,,,,,,хъихъвáниб,хъохъодира,,,,да,хъохъодира,да,хъохъодира
лекарство,the medicine,,dawaa',,дарман,"дава, дарман",дарман,дарман,дарман,дарман,дарман,дарман,дарман,дава,дарман,tibb,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,дарман,лекарство,дару,daru,дару,дару,дару,дару,"дару, дарман, сабав // сабаб2",дару,да,дару,да,дару,да,дару,да,дару,да,дару,дару,,да,дару,,,,,,,"дармáн, дарý",дару,,да,дару,да,дару,да,дару
семья,the family,xanevadeh,"aailah, usrah",,"хизан, куьльфет",хизан,хизан,хизан,кулфат,хизан,хизан,хизан,хизан,хизан?,хизан,ailə,"уягьлю, агьлю",килфет,хизан,хизан,хизан,хизан,хизан,хъзан,хизан,хизан,семья,БÁРУ-ХÉХ/БИ,qizan,семья,хак1у,хьак1у,бал1у,"агьлу, гьакъу, гьакъу-къала, хъизан","агьлу, куНт1а-гьарк1к1е, хъизам",хъизан,,хъизам,,да,хъизам,да,хъизам,да,хъизам,хъиза,,да,хъиза,,,,,,,"кулпáт, хъизáн",хъизан,,,,хъизам,,хъизан,
мост,the bridge,,jisr,,гъа1,гъа1,гъа1,гъа1,гъа,гъе1,гъа1,гъа1,гъа,гъа1,гъа1,körpü,кёпюр,тахта,муьгъ,цигъ,йугъ,йугъ,муьгъ,муьгъ,,,мост,"КIÁМ/У (арочный), ЛIЕ",t’iyo,т1ийо,л1е,л1е,л1е,лIемо2,кьеру,да,кьеру,да,кьеру,да,кьеру,да,кьеру,да,кьеру,кьира,,да,кьира,,,,,,,кьер,кьер,,,,да,кьер,да,кьер
"друг, приятель",the friend,dust,saahib,,"хыди, юлдаш, дуст,къардаш",юлдаш,дуст,дуст,дуст,дуст,юлдаш,юлдаш,"дост, юлдаш",юлдаш,юлдаш,dost,"къурдаш, ёлдаш, ювукъ, дост ёлдаш",КЪАРДАШ,дуст,дуст,дост,дуст,дуст,юлдаш,дуст,юлдаш,"друг, приятель",0,0,гъалмагъ,гъалмагъ,гъалмагъ,гъалмагъ,"ваццал, гьалмагъ, гьудул, гьудул-гьалмагъ",чокъа,"чокъа, гъалмагъ - аварское",,чокъа,,да,чокъа,чокъа,,"гъалмагъ, гьудул",,гьамагъе,,да,гьамагъе,,,ц1еве,,,,0,"гьудул, гьалмагъ",,гьалмагъ,,гъалмагъ,,да,гъалмагъ
гвоздь,the nail,,mismaar,,"мысмар, хъатах",мусмар,масмар,масмар,масмар,масмар,мигьман,мысмар,мысмар,мысмар,мысмар,dırnaq,"мых, чюй",МИСМАР,мысмар,мысмар,мысмар,мысмар,масмар,масмар,"михъ, масмар",мих,гвоздь,ÓКI/О,muq’o,мукъо,ÓКI/О,ÓКI/О,ÓКI/О,акIве,"гьаНк1ва, х1аНк1ва",гьанк1ва,,да,гьанк1ва,да,гьанк1ва,да,гьанк1ва,гьанк1ва,,микъе,,да,микъе,,,да,микъе,,,гьáкIва,гьанк1ва,,да,гьанк1ва,да,гьанк1ва,да,гьанк1ва
вилы (сена),the fork(2)/pitchfork,,midrah,,хьылан,хьылан,хьибк1ари,хьибк1ари,хьиккари,хибкари,мысмар,хылан,"хьылан, кьынгери",хьылан,хьылан,yaba,сенек,КЬУЬК,КЬУЬК,яба,яба,яба,кьуьк,кьуьк,кьуьк,,вилы,#N/A,#N/A,сино,КЪУIЛI/У,КЪУIЛI/У,КЪУIЛI/У,#N/A,#N/A,#N/A,,#N/A,к1ванкьа,#N/A,к1ванкьа,#N/A,,#N/A,,#N/A,,#N/A,лъано,#N/A,,#N/A,лъано,#N/A,,кIвáНкьа,#N/A,,#N/A,к1ванкьа,#N/A,,#N/A,к1ванкьа
"щипцы, клещи",the tongs,,qarrasah,,"къецI, келбатун",кельбатун,къа1ц1,калбатун,къац,калбатун,калбатун,"калбатун, къац",калбатун,къа1ц,къец,maşa (щипцы),"маша, келпете","маша (для углей), хех",хех,кальбатун,кальбатун,кальбатун,хях,хех,къец1,къяц,"щипцы, клещи",ХÓЦI/У,0,ХаЦI/У,ХÓЦI/У,ХÓЦI/У,ХÓЦI/У,"калбатун, хоцIу",гъец1е,да,гъец1е,да (и в печке кочерга?),гъец1е,да,гъец1е,гъец1е,,гъец1и,,гьец1и,,?,,,,,,,,гъецIв,гьец1,,гьец1,,гьец1,,да,гьец1
тыква,the pumpkin or squash,,qar'ah,,къабах,къабах,къабах,къабах,кабах,кабах,къабах,къабах,къабах,къабах,къабах,balqabaq,къабакъ,буран,къабах,кьабах,к1абах,къабах,къабах,кабах,къабах,къабах,тыква,,NA,къабах,хъабах,хъабахъ,тиква,,,да,,да,,да,да,п,да,хъабахъ,,хъабахъо,,да,хъабахъо,,,,,,,гамýз,дажик1,,дажик1,,да,дажик1,да,дажик1
