nr	name	russian translation	intersection	avar_standard_dictionary	andi_andi_dictionary	aa_source	andi_gagatli_dictionary	ag_source	andi_zilo1_2018_f_2002	az1_source	andi_zilo2_2017_m_mixed	az2_source	andi_rikvani_2017_m_1949	ar_source	botlikh_botlikh_mixed	bb_source	avar_kusur_2017_m_?	ak_source	azerbaijani_standard_dictionary	chechen_standard_dictionary	kumyk_standard_dictionary	doubtful
146	the hare	заяц	заяц	гIанкI	кьанк1ала	non loan	кьанк1ала	non loan	кьанк1ала	non loan	кьанк1ала	non loan	кьанк1ара	non loan	кьанк1ар	non loan	давшан	turkic	dovşan	Лергъяхар йу, пхьагал йу	къоян, тавшан	
40	the copper	медь	медь	пахь	гьир	non loan	гьир (красная)	non loan	гьир	non loan	гьир	non loan	гьир	non loan	пахьи	non loan	йез	turkic	мис	моaз	багъыр, ез	
42	the ball	мяч, шар	шар(ик), мяч	торгIо (мяч)	торгьо	non loan	торгьо	non loan	торъо	non loan	торъо	non loan	торъо	non loan	к1ак1у	non loan	топ	turkic	топ	буьрка	топ	
47	the reindeer/caribou	олень		ритIучI	белир	non loan	белир	non loan	рит1уч1и	non loan	рит1уч1и	non loan	бел*ир	non loan	рит1уч1	non loan	марал	turkic	maral	сай	къубагийик	
157	the sand	песок (строительный)	песок	сали	сур	non loan	сур	non loan	сур	non loan	сур	non loan	щур	non loan	сира	non loan	къум	turkic	qum	г1ум	хум, къайыр	
56	the silver	серебро	серебро	гIарац	орси	non loan	орси	non loan	орси	non loan	орси	non loan	орсси	non loan	арси	non loan	гумущ	turkic	gümüş	дети	гюмюш	
86	the tongs	щипцы, клещи	щипцы	гъецI	хуц1у	non loan	хуц1у	non loan	хуц1у	non loan	хуц1у	non loan	хуц1у	non loan	гъурц1у	non loan	кулпутун	turkic	maşa (щипцы)	морзах	маша, келпете	
78	the price	цена	цена	багьа, къимат, мухь	багьа	persian	багьа	persian	багьа	persian	багьа	persian	багьа	persian	багьа	persian	къимат	turkic	qiymət	мах	багьа, къыймат, гьакъ	
27	the towel	полотенце	полотенце	полотенце, гьумербацIцI	палатенца	russian	палатенца	russian	полотенце	russian	рокьучул	non loan	полотенце	russian	палатенца	russian	дасмал	turkic	dəsmal	гата	чюй явлукъ, бет явлукъ	
7	the cabbage	капуста (кочанная)		хъапустIан	капуста	russian	капустан	russian	капуста	russian	капуста	russian	къапуста // капуста	russian	капуста	russian	калам	turkic	кəлəм/käläm	копаста	къапуста	
87	the pumpkin or squash	тыква	тыква	хъабахъ	гъайбахъи	turkic	гъабахъи	turkic	держик1а	non loan	держик1а	non loan	хъахъ	turkic	хъабахъи	turkic	хъабахъи	turkic	balqabaq	г1апакх	къабакъ	
28	the pepper	перец (черный)	перец	пилпил, пучч	пуччи	avar	пилпил	persian	перец	russian	пурччи	turkic	бурч	turkic	пурчч	turkic	усöт	turkic	bibər	бурч	бурч, жибижей, иссиот	
1	the watermelon	арбуз		хъарпýз	хъалпузи	turkic	харбузи	turkic	хъарпузи	turkic	хъарпузи	turkic	харбуз	turkic	хъарпуз	turkic	хъарпуз	turkic	гарпыз	хорбаз	харбуз	
122	the gate	ворота		каву, рагьу, каваби, гъапу	кав	turkic	кав	turkic	кав	turkic	каву	turkic	ккаб	turkic	каву	turkic	дарзава	turkic	darvaza	NA	къапулар, къапу	
66	the goose	гусь	гусь	хъаз	хъази	turkic	хъази	turkic	хъази	turkic	хъази	turkic	хъаз	turkic	хъаз	turkic	хъаз	turkic	dərzi ütüsü	г1аз	къаз	
6	the melon	дыня		пастІáн1	паст1ан	turkic	паст1ан	turkic	паст1ан	turkic	паст1ан	turkic	паст1ан	turkic	паст1ан	turkic	хъоум(?)	turkic	говун; jемиш	паста	пастан	
24	the pencil	карандаш		къалам	гъгъалам	turkic	къгалам	turkic	къалам	turkic	къалам	turkic	къалам	turkic	къалам	turkic	къалам	turkic	karandaş	къолам, дашалг бу	карандаш	
59	the cross	крест		хъанч	NA	NA	хъанчи	turkic	крест	turkic	крест	turkic	хъанч (кресты, иконы)	turkic	хъанч	turkic	хач	turkic	keçmək	ж1ара	хач	
39	the gun	ружьё	ружьё	туманкI	тупанги	turkic	тупанги	turkic	тупанги	turkic	тупанги	turkic	тванг	turkic	томонги	turkic	тупанк	turkic	түфəнҝ	топ	тюбек	
26	the tobacco	табак	табак	тамахьо	тамахьу	avar	тамако	turkic	тамако	turkic	тамакко	turkic	тако	turkic	тамаку	turkic	тутун	turkic	tütün	тонка	тамакю	
69	the duck	утка	утка	ордек	бадуши	turkic	бадещи	turkic	бадущи	turkic	бадущи	turkic	бабущ	turkic	урдек	turkic	г1урдек	turkic	ördək	бад	оьрдек, бабиш	
99	the cat	кошка	кот или кошка	кето, гъанцIа, гъецI	геду	unidentified	геду	unidentified	геду	unidentified	геду	unidentified	геду	unidentified	геду	unidentified	пушуй	turkic	pişik	цициг	мишик	
160	the lip	губа	губа	кIветI		NA		NA		NA		NA		NA		NA		turkic				
20	the shop/store	магазин	магазин	тукен		NA		NA		NA		NA		NA		NA	тукан	turkic				
37	the pocket	карман		чванта, киса	NA	NA	кисай	turkic	кисав	turkic	кисав	turkic	кисей	turkic	чанта	avar	жиби	turkic	ҹиб	киса	кисе	1
145	the fish	рыба	рыба	ччугІа	хвами	non loan	хвами	non loan	хвами	non loan	хвами	non loan	ччуъа	avar	хъва2й	non loan	булух	turkic	balıq	ч1ара	балыкъ	1
147	the butterfly	бабочка	бабочка	кIалкIучI	къат1ипа	non loan	пиринпа	non loan	одорук1а	non loan	одорук1а	non loan	ц1орц1а	non loan	сасак1у	non loan	эндулкилик (тоже мочка уха)	unidentified	kəpənək	полла	гюмелек	
101	the cattle	крупный рогатый скот	крупный рогатый скот	чIегIербоцIи, ħaywan	буц1ц1ир	non loan	бишони	non loan	бишоннол, буц1ц1ирол	non loan	буц1ц1ир, бишонно	non loan	реч1едир буц1ц1ир (черный скот), бишоннол	non loan	буц1ц1и	non loan	рухьид	unidentified	mal-qara	NA	къара тувар (рогатый скот)	1
153	the wing	крыло (или перо)	крыло	кваркьи	лъиру	non loan	лъиру	non loan	лъиру	non loan	лъиру	non loan	лъиру	non loan	квач1и	non loan	мисер	unidentified	qanad	т1ам	къанат	1
50	the soup	суп	суп	чурпа	чорпа	turkic	чорпа, кощи	turkic	чорпа	turkic	чорпа	turkic	ч1орпа	turkic	чурпа	russian	каша	unidentified	şorbası	чорпа	шорпа	
74	the clan	тухум, род	род или тухум	тухум		NA		NA		NA		NA		NA	тухум-кьибил	arabic		NA				
12	the herd	стадо (овец)		рехъéн	реда	non loan	реда	non loan	реда	non loan	реда	non loan	реда	non loan	рехъин	avar	рихен (стадо), суру (отара)	NA	сүрү; нахыр	бажа	сирив, йылкъы, тувар, гезив (гьайванлар)	
32	the glass	стекло	стекло	цIер (=также лёд); шиша	мат1у	non loan	мат1у	non loan	мат1у	non loan	мат1о	non loan	мат1у	non loan	мат1у	avar	айна	NA	şüşə	ангали	шиша	1
121	the boar	кабан, боров, вепрь	кабан	хъабан болъон		NA	ххунт1а	non loan		NA	хунт1а	non loan	хунт1а кунта	non loan	г1алхул болъон	avar		NA				
102	the debt	долг (денежный)	долг	налъи, борч, тIадаб жо, гьабизе тIадаб иш, къарз		NA		NA		NA		NA		NA	къарз	avar		NA				
74	the clan	тухум, род	род или тухум	тухум		NA		NA		NA		NA		NA	тайпа	chechen		NA				1
136	the broom	метла		жул	л1арл1ал	non loan	л1арл1ал	non loan	л1арл1ал	non loan	л1арл1ал	non loan	NA	NA	бежун	non loan	рассулиб	NA	süpürgə	нуй	сибиртки	
71	the wheel	колесо	колесо	гьоко, гьакибер, чарх	ч1уйриги	chechen	ч1уриги	chechen	ч1уреги	chechen	ч1уреги	chechen	инква	non loan	ххив	non loan	торпиб	NA	təkər	чкъург	дёгерчик	
155	the grasshopper	кузнечик	кузнечик	гарцI (гьитIинаб)	гъац1а	non loan	гъац1а	non loan	гъац1ц1а	non loan	гъац1а	non loan	гъац1а	non loan	гьац1а	non loan	ц1ирт	NA	çəyirtkə	цаьпцалг	увакъ ченгертки	
158	the blister	мозоль		гьанамагI, пинкь	NA	NA	пул	non loan	пули	non loan	рикьил1л гьанк1о (мясной гвоздь)	non loan	пул т1амид	non loan	рикьилъи гьанк1ва (мясной гвоздь)	non loan	хъабар	NA	qarğıdalı	къегар	къатыв	
106	the thread	нитка	нить, нитка	квасул, чиллайдул ва гь.ц. кун	рекун	non loan	рекун	non loan	рекун	non loan	рекун	non loan	реккун	non loan	рекун	non loan	кар	NA	sap	тай	йип	
115	the spider	паук		нусиреч (къорола, гIанкабутI)	NA	NA	руххунниб	non loan	мисихвара	non loan	мисихвара	non loan	мисихвара (хвара = приступ)	non loan	нуццахир	non loan	гьум	NA	hörümçək	гезг	мияма, мия	
51	the lead	свинец (из чего пули)	свинец (из чего пули)	тIухьи	т1уши	non loan	т1уши	non loan	т1уши	non loan	т1уши	non loan	т1уши	non loan	т1уши	non loan	лух1ум	NA	qurğuşun	даш	къоргъашын	
148	the footprint	след (ноги)	отпечаток, след (ноги)	лъакI	лъол	non loan	лъол	non loan	рикъин, лъол	non loan	лъол	non loan	лъол*	non loan	лъак1	non loan	рах	NA	izi	лар	гьыз	
119	the lizard	ящерица	ящерица	кьинч	к1к1онччу	non loan	к1к1ойччим	non loan	кьерччин	non loan	кьерччин	non loan	к1войччин	non loan	гьургьулу	non loan	кылаз	NA	kərtənkələ	моьлкъа	гесертки	
93	the slave	раб	раб	лагъ		NA		NA	лагъи	avar		NA		NA	гъарабаш	non loan		NA				
16	the soap	мыло	мыло	сапун	ссапин	persian	ссапин	persian	сапун	persian	сапун	persian	сапин	persian	ссапун	persian	сук1ун	NA	сабун	саба	сапун	
2	the barrel	бочка		чирмá		NA		NA	бочка	russian	шалеги	turkic		NA	пучка	russian		NA				
92	the felt	войлок (из чего делают бурки)		буртина		NA	гьикьубилъидйа 	non loan		NA		NA		NA	бурка	russian		NA				
35	the bottle	бутылка	бутылка	шиша		NA		NA		NA		NA		NA	макълашка (пластиковая)	russian		NA				
78	the price	цена	цена	багьа, къимат, мухь		NA		NA		NA		NA		NA	къимат	turkic		NA				
32	the glass	стекло	стекло	цIер (=также лёд); шиша		NA		NA		NA		NA		NA	ссурах1и	unidentified		NA				
102	the debt	долг (денежный)	долг	налъи, борч, тIадаб жо, гьабизе тIадаб иш, къарз		NA		NA		NA		NA		NA	парз	unidentified		NA				
74	the clan	тухум, род	род или тухум	тухум		NA		NA		NA		NA	гьикьим (род)	unidentified		NA		NA				
44	the trousers	брюки	штаны, брюки	тIажу (штаны)		NA	ошкъгоги	non loan		NA		NA	охчог	non loan		NA		NA				
95	the corpse	труп	труп	жаназа (человеческий), балкан (животное)		NA	рокьи	non loan		NA		NA	рокьи	non loan		NA		NA				
98	the axe/ax	топор	топор	гIащтIи		NA		NA	балта	unidentified		NA		NA		NA		NA				
34	the cup	чашка		чашка, чай гьекъолеб суркIа		NA		NA	чингил (тарелка)	unidentified		NA		NA		NA		NA				
142	the owl	сова	сова	руз		NA		NA	к1к1ов	unidentified		NA		NA		NA		NA				
54	the paint	краска	краска	лажбар, релъен		NA		NA	лажбар	avar		NA		NA		NA		NA				
39	the gun	ружьё	ружьё	туманкI		NA		NA	ярагъи	avar		NA		NA		NA		NA				
167	the scabies	чесотка		хъирис		NA		NA	хъирици	avar		NA		NA		NA		NA				
131	the bracelet	браслет		курхьин		NA		NA	кверкъин	non loan		NA		NA		NA		NA				
143	the rope	веревка		квар, батIаргьин, рухьен		NA		NA	ч1ол	non loan		NA		NA		NA		NA				
48	the time	время		заман, мех, гIуж		NA		NA	ригьи	non loan		NA		NA		NA		NA				
27	the towel	полотенце	полотенце	полотенце, гьумербацIцI		NA		NA	рокьучул	non loan		NA		NA		NA		NA				
15	the sugar	сахар	сахар	чакар		NA		NA	чакар	persian		NA		NA		NA		NA				
28	the pepper	перец (черный)	перец	пилпил, пучч		NA		NA	пурччи	turkic		NA		NA		NA		NA				
3	the bucket	ведро		ведро		NA	черме	unidentified		NA		NA		NA		NA		NA				
143	the rope	веревка		квар, батIаргьин, рухьен		NA	рет1омил	non loan		NA		NA		NA		NA		NA				
71	the wheel	колесо	колесо	гьоко, гьакибер, чарх		NA	чарххи	avar		NA		NA		NA		NA		NA				
40	the copper	медь	медь	пахь		NA	йези (желтая)	turkic		NA		NA		NA		NA		NA				
105	the belt	ремень, пояс		рачел, гIарщ, хьвацIил чIоло		NA	илъоб	non loan		NA		NA		NA		NA		NA				
53	the sickle	серп		нилъ, хъандиро		NA	ничо	non loan		NA		NA		NA		NA		NA				
124	the orphan	сирота	сирота	бесдал лъимер		NA	бесдук1и	unidentified		NA		NA		NA		NA		NA				
11	the plum	слива		кокó/н		NA	ч1амч1ур (поздняя слива)	non loan		NA		NA		NA		NA		NA				
124	the orphan	сирота	сирота		ятим	turkic	йатим	turkic		NA		NA		NA		NA		NA				
134	the body	тело	тело		джаназа	arabic	черххи	avar		NA		NA		NA		NA		NA				
55	the prison	тюрьма	тюрьма	туснахъ		NA	дунгил	non loan		NA		NA		NA		NA		NA				
150	the worm	червяк	червь, червяк		гьабара (червь)	avar	гъабара	avar		NA		NA		NA		NA		NA				
